site_code,site_name,node,antenna_id,antenna_group,config_id
USI,Upper Salmon River at rkm 460,USI,A4,ARRAY,100
USI,Upper Salmon River at rkm 460,USI,A5,ARRAY,100
USI,Upper Salmon River at rkm 460,USI,A6,ARRAY,100
UTR,Upper Tucannon River,UTRA0,A1,UPSTREAM ARRAY,100
UTR,Upper Tucannon River,UTRA0,A2,UPSTREAM ARRAY,100
UTR,Upper Tucannon River,UTRA0,A3,MIDDLE ARRAY,100
UTR,Upper Tucannon River,UTRA0,A4,MIDDLE ARRAY,100
UTR,Upper Tucannon River,UTRB0,A5,DOWNSTREAM ARRAY,100
UTR,Upper Tucannon River,UTRB0,A6,DOWNSTREAM ARRAY,100
UTR,Upper Tucannon River,UTRA0,A1,Upstream Array,110
UTR,Upper Tucannon River,UTRA0,A2,Upstream Array,110
UTR,Upper Tucannon River,UTRB0,A3,Downstream Array,110
UTR,Upper Tucannon River,UTRB0,A4,Downstream Array,110
VC1,"Valley Creek, Upstream Site",VC1B0,A1,MAIN,100
VC1,"Valley Creek, Upstream Site",VC1A0,01,Upstream Array,110
VC1,"Valley Creek, Upstream Site",VC1A0,02,Upstream Array,110
VC1,"Valley Creek, Upstream Site",VC1B0,03,Downstream Array,110
VC1,"Valley Creek, Upstream Site",VC1B0,04,Downstream Array,110
VC1,"Valley Creek, Upstream Site",VC1A0,A1,UPSTREAM ARRAY,120
VC1,"Valley Creek, Upstream Site",VC1A0,A2,Upstream Array,120
VC1,"Valley Creek, Upstream Site",VC1B0,A3,DOWNSTREAM ARRAY,120
VC1,"Valley Creek, Upstream Site",VC1B0,A4,Downstream Array,120
VC2,"Valley Creek, Downstream Site",VC2B0,A1,MAIN,100
VC2,"Valley Creek, Downstream Site",VC2B0,01,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2B0,02,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2B0,03,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2B0,04,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2B0,05,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2B0,06,SPEEDBUMP ANTENNA ARRAY,110
VC2,"Valley Creek, Downstream Site",VC2A0,01,UPSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2A0,02,UPSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2A0,03,UPSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2B0,04,DOWNSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2B0,05,DOWNSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2B0,06,DOWNSTREAM 3-ANTENNA ARRAY,120
VC2,"Valley Creek, Downstream Site",VC2A0,B1,Upstream 3-antenna Array,130
VC2,"Valley Creek, Downstream Site",VC2A0,B2,Upstream 3-antenna Array,130
VC2,"Valley Creek, Downstream Site",VC2A0,B3,Upstream 3-antenna Array,130
VC2,"Valley Creek, Downstream Site",VC2B0,B4,Downstream 3-antenna Array,130
VC2,"Valley Creek, Downstream Site",VC2B0,B5,Downstream 3-antenna Array,130
VC2,"Valley Creek, Downstream Site",VC2B0,B6,Downstream 3-antenna Array,130
WB1,White Bird Cr Seasonal IPTDS,WB1A0,01,Upstream Array,100
WB1,White Bird Cr Seasonal IPTDS,WB1A0,02,Upstream Array,100
WB1,White Bird Cr Seasonal IPTDS,WB1B0,03,Downstream Array,100
WB1,White Bird Cr Seasonal IPTDS,WB1B0,04,Downstream Array,100
WEB,Webb Creek,WEBA0,D1,UPSTREAM ANTENNA,100
WEB,Webb Creek,WEBB0,D2,DOWNSTREAM ANTENNA,100
WEN,Wenaha River Mouth,WENA0,01,Upstream Array,100
WEN,Wenaha River Mouth,WENA0,02,Upstream Array,100
WEN,Wenaha River Mouth,WENA0,03,Upstream Array,100
WEN,Wenaha River Mouth,WENA0,04,Upstream Array,100
WEN,Wenaha River Mouth,WENA0,05,Upstream Array,100
WEN,Wenaha River Mouth,WENB0,06,Downstream Array,100
WEN,Wenaha River Mouth,WENB0,07,Downstream Array,100
WEN,Wenaha River Mouth,WENB0,08,Downstream Array,100
WEN,Wenaha River Mouth,WENB0,09,Downstream Array,100
WEN,Wenaha River Mouth,WENA0,02,Upstream Array,110
WEN,Wenaha River Mouth,WENA0,03,Upstream Array,110
WEN,Wenaha River Mouth,WENA0,06,Upstream Array,110
WEN,Wenaha River Mouth,WENA0,07,Middle Array,110
WEN,Wenaha River Mouth,WENB0,08,Downstream Array,110
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,01,Upstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,02,Upstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,03,Upstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,04,Middle Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,05,Middle Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,06,Middle Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCB0,07,Downstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCB0,08,Downstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCB0,09,Downstream Array,100
WPC,"Wimpey Creek, Lemhi R. Basin",WPCA0,01,Upstream Antenna,110
WPC,"Wimpey Creek, Lemhi R. Basin",WPCB0,02,Downstream Antenna,110
WR1,Wallowa River at river km 14,WR1,A1,Left Bank,100
WR1,Wallowa River at river km 14,WR1,A2,Mid-Left,100
WR1,Wallowa River at river km 14,WR1,A3,Left Center,100
WR1,Wallowa River at river km 14,WR1,A4,Right Center,100
WR1,Wallowa River at river km 14,WR1,A5,Mid-Right,100
WR1,Wallowa River at river km 14,WR1,A6,Right Bank,100
WR2,Wallowa River at rkm 32,WR2A0,01,Upstream Array,100
WR2,Wallowa River at rkm 32,WR2A0,02,Upstream Array,100
WR2,Wallowa River at rkm 32,WR2A0,03,Upstream Array,100
WR2,Wallowa River at rkm 32,WR2A0,04,Upstream Array,100
WR2,Wallowa River at rkm 32,WR2B0,05,Downstream Array,100
WR2,Wallowa River at rkm 32,WR2B0,06,Downstream Array,100
WR2,Wallowa River at rkm 32,WR2B0,07,Downstream Array,100
WR2,Wallowa River at rkm 32,WR2B0,08,Downstream Array,100
WR2,Wallowa River at rkm 32,WR2A0,01,Upstream Array,110
WR2,Wallowa River at rkm 32,WR2A0,02,Upstream Array,110
WR2,Wallowa River at rkm 32,WR2A0,03,Upstream Array,110
WR2,Wallowa River at rkm 32,WR2B0,05,Downstream Array,110
YFK,Yankee Fork Salmon River,YFKA0,A1,UPSTREAM ARRAY,100
YFK,Yankee Fork Salmon River,YFKA0,A2,UPSTREAM ARRAY,100
YFK,Yankee Fork Salmon River,YFKB0,A3,DOWNSTREAM ARRAY,100
YFK,Yankee Fork Salmon River,YFKB0,A4,DOWNSTREAM ARRAY,100
YPP,Yellow Pine Pit Lake,YPPA0,01,Upstream Antenna,100
YPP,Yellow Pine Pit Lake,YPPB0,02,Downstream Antenna,100
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A1,UPPER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A2,UPPER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A3,UPPER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A4,UPPER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B1,LOWER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B2,LOWER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B3,LOWER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B4,LOWER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B5,LOWER IN-STREAM ARRAY,100
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B6,,100
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A1,UPPER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A2,UPPER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A3,UPPER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENA0,A4,UPPER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B1,LOWER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B2,LOWER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B3,LOWER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B4,LOWER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B5,LOWER IN-STREAM ARRAY,110
ZEN,Secesh River at Zena Cr. Ranch,ZENB0,B6,LOWER IN-STREAM ARRAY,110
